filename,label
Alkene DS\imgs\0.png,1
Alkene DS\imgs\1.png,1
,
,
,
Alkene DS\imgs\5.png,1
Alkene DS\imgs\6.png,1
Alkene DS\imgs\7.png,1
Alkene DS\imgs\8.png,1
Alkene DS\imgs\9.png,1
Alkene DS\imgs\10.png,1
Alkene DS\imgs\11.png,1
,
Alkene DS\imgs\13.png,1
Alkene DS\imgs\14.png,1
Alkene DS\imgs\15.png,1
Alkene DS\imgs\16.png,1
Alkene DS\imgs\17.png,1
Alkene DS\imgs\18.png,1
Alkene DS\imgs\19.png,1
Alkene DS\imgs\20.png,1
Alkene DS\imgs\21.png,1
Alkene DS\imgs\22.png,1
Alkene DS\imgs\23.png,1
Alkene DS\imgs\24.png,1
Alkene DS\imgs\25.png,1
Alkene DS\imgs\26.png,1
Alkene DS\imgs\27.png,1
Alkene DS\imgs\28.png,1
Alkene DS\imgs\29.png,1
,
Alkene DS\imgs\31.png,1
,
Alkene DS\imgs\33.png,1
Alkene DS\imgs\34.png,1
,
Alkene DS\imgs\36.png,1
Alkene DS\imgs\37.png,1
,
,
,
,
Alkene DS\imgs\42.png,1
,
,
,
Alkene DS\imgs\46.png,1
Alkene DS\imgs\47.png,1
Alkene DS\imgs\48.png,1
Alkene DS\imgs\49.png,1
Alkene DS\imgs\50.png,1
,
,
Alkene DS\imgs\53.png,1
,
Alkene DS\imgs\55.png,1
Alkene DS\imgs\56.png,1
Alkene DS\imgs\57.png,1
Alkene DS\imgs\58.png,1
Alkene DS\imgs\59.png,1
Alkene DS\imgs\60.png,1
Alkene DS\imgs\61.png,1
Alkene DS\imgs\62.png,1
Alkene DS\imgs\63.png,1
Alkene DS\imgs\64.png,1
Alkene DS\imgs\65.png,1
Alkene DS\imgs\66.png,1
,
,
,
,
,
Alkene DS\imgs\72.png,1
Alkene DS\imgs\73.png,1
Alkene DS\imgs\74.png,1
Alkene DS\imgs\75.png,1
Alkene DS\imgs\76.png,1
Alkene DS\imgs\77.png,1
Alkene DS\imgs\78.png,1
Alkene DS\imgs\79.png,1
Alkene DS\imgs\80.png,1
Alkene DS\imgs\81.png,1
Alkene DS\imgs\82.png,1
Alkene DS\imgs\83.png,1
Alkene DS\imgs\84.png,1
,
Alkene DS\imgs\86.png,1
Alkene DS\imgs\87.png,1
Alkene DS\imgs\88.png,1
Alkene DS\imgs\89.png,1
,
Alkene DS\imgs\91.png,1
Alkene DS\imgs\92.png,1
Alkene DS\imgs\93.png,1
Alkene DS\imgs\94.png,1
Alkene DS\imgs\95.png,1
Alkene DS\imgs\96.png,1
Alkene DS\imgs\97.png,1
Alkene DS\imgs\98.png,1
Alkene DS\imgs\99.png,1
Alkene DS\imgs\100.png,1
Alkene DS\imgs\101.png,1
,
,
Alkene DS\imgs\104.png,1
Alkene DS\imgs\105.png,1
Alkene DS\imgs\106.png,1
Alkene DS\imgs\107.png,1
,
Alkene DS\imgs\109.png,1
Alkene DS\imgs\110.png,1
Alkene DS\imgs\111.png,1
Alkene DS\imgs\112.png,1
Alkene DS\imgs\113.png,1
Alkene DS\imgs\114.png,1
Alkene DS\imgs\115.png,1
Alkene DS\imgs\116.png,1
Alkene DS\imgs\117.png,1
Alkene DS\imgs\118.png,1
Alkene DS\imgs\119.png,1
Alkene DS\imgs\120.png,1
Alkene DS\imgs\121.png,1
Alkene DS\imgs\122.png,1
Alkene DS\imgs\123.png,1
Alkene DS\imgs\124.png,1
Alkene DS\imgs\125.png,1
,
,
,
Alkene DS\imgs\129.png,1
Alkene DS\imgs\130.png,1
Alkene DS\imgs\131.png,1
Alkene DS\imgs\132.png,1
Alkene DS\imgs\133.png,1
Alkene DS\imgs\134.png,1
Alkene DS\imgs\135.png,1
Alkene DS\imgs\136.png,1
Alkene DS\imgs\137.png,1
Alkene DS\imgs\138.png,1
Alkene DS\imgs\139.png,1
,
Alkene DS\imgs\141.png,1
Alkene DS\imgs\142.png,1
Alkene DS\imgs\143.png,1
Alkene DS\imgs\144.png,1
Alkene DS\imgs\145.png,1
Alkene DS\imgs\146.png,1
Alkene DS\imgs\147.png,1
Alkene DS\imgs\148.png,1
Alkene DS\imgs\149.png,1
Alkene DS\imgs\150.png,1
,
Alkene DS\imgs\152.png,1
Alkene DS\imgs\153.png,1
Alkene DS\imgs\154.png,1
Alkene DS\imgs\155.png,1
Alkene DS\imgs\156.png,1
Alkene DS\imgs\157.png,1
Alkene DS\imgs\158.png,1
Alkene DS\imgs\159.png,1
Alkene DS\imgs\160.png,1
Alkene DS\imgs\161.png,1
Alkene DS\imgs\162.png,1
,
Alkene DS\imgs\164.png,1
Alkene DS\imgs\165.png,1
Alkene DS\imgs\166.png,1
Alkene DS\imgs\167.png,1
Alkene DS\imgs\168.png,1
Alkene DS\imgs\169.png,1
Alkene DS\imgs\170.png,1
Alkene DS\imgs\171.png,1
,
Alkene DS\imgs\173.png,1
Alkene DS\imgs\174.png,1
Alkene DS\imgs\175.png,1
Alkene DS\imgs\176.png,1
Alkene DS\imgs\177.png,1
Alkene DS\imgs\178.png,1
Alkene DS\imgs\179.png,1
Alkene DS\imgs\180.png,1
Alkene DS\imgs\181.png,1
Alkene DS\imgs\182.png,1
Alkene DS\imgs\183.png,1
,
Alkene DS\imgs\185.png,1
Alkene DS\imgs\186.png,1
,
Alkene DS\imgs\188.png,1
,
Alkene DS\imgs\190.png,1
Alkene DS\imgs\191.png,1
Alkene DS\imgs\192.png,1
Alkene DS\imgs\193.png,1
Alkene DS\imgs\194.png,1
Alkene DS\imgs\195.png,1
Alkene DS\imgs\196.png,1
Alkene DS\imgs\197.png,1
Alkene DS\imgs\198.png,1
Alkene DS\imgs\199.png,1
,
Alkene DS\imgs\201.png,1
Alkene DS\imgs\202.png,1
Alkene DS\imgs\203.png,1
Alkene DS\imgs\204.png,1
Alkene DS\imgs\205.png,1
Alkene DS\imgs\206.png,1
Alkene DS\imgs\207.png,1
Alkene DS\imgs\208.png,1
Alkene DS\imgs\209.png,1
Alkene DS\imgs\210.png,1
Alkene DS\imgs\211.png,1
Alkene DS\imgs\212.png,1
Alkene DS\imgs\213.png,1
Alkene DS\imgs\214.png,1
Alkene DS\imgs\215.png,1
,
Alkene DS\imgs\217.png,1
Alkene DS\imgs\218.png,1
Alkene DS\imgs\219.png,1
Alkene DS\imgs\220.png,1
Alkene DS\imgs\221.png,1
Alkene DS\imgs\222.png,1
Alkene DS\imgs\223.png,1
,
Alkene DS\imgs\225.png,1
Alkene DS\imgs\226.png,1
Alkene DS\imgs\227.png,1
Alkene DS\imgs\228.png,1
Alkene DS\imgs\229.png,1
Alkene DS\imgs\230.png,1
Alkene DS\imgs\231.png,1
Alkene DS\imgs\232.png,1
Alkene DS\imgs\233.png,1
Alkene DS\imgs\234.png,1
Alkene DS\imgs\235.png,1
Alkene DS\imgs\236.png,1
Alkene DS\imgs\237.png,1
,
Alkene DS\imgs\239.png,1
Alkene DS\imgs\240.png,1
,
Alkene DS\imgs\242.png,1
Alkene DS\imgs\243.png,1
Alkene DS\imgs\244.png,1
Alkene DS\imgs\245.png,1
Alkene DS\imgs\246.png,1
Alkene DS\imgs\247.png,1
Alkene DS\imgs\248.png,1
Alkene DS\imgs\249.png,1
,
Alkene DS\imgs\251.png,1
Alkene DS\imgs\252.png,1
Alkene DS\imgs\253.png,1
,
Alkene DS\imgs\255.png,1
,
Alkene DS\imgs\257.png,1
,
Alkene DS\imgs\259.png,1
Alkene DS\imgs\260.png,1
Alkene DS\imgs\261.png,1
Alkene DS\imgs\262.png,1
Alkene DS\imgs\263.png,1
Alkene DS\imgs\264.png,1
Alkene DS\imgs\265.png,1
Alkene DS\imgs\266.png,1
Alkene DS\imgs\267.png,1
Alkene DS\imgs\268.png,1
,
Alkene DS\imgs\270.png,1
Alkene DS\imgs\271.png,1
Alkene DS\imgs\272.png,1
Alkene DS\imgs\273.png,1
,
Alkene DS\imgs\275.png,1
Alkene DS\imgs\276.png,1
Alkene DS\imgs\277.png,1
Alkene DS\imgs\278.png,1
Alkene DS\imgs\279.png,1
Alkene DS\imgs\280.png,1
Alkene DS\imgs\281.png,1
Alkene DS\imgs\282.png,1
,
Alkene DS\imgs\284.png,1
Alkene DS\imgs\285.png,1
Alkene DS\imgs\286.png,1
Alkene DS\imgs\287.png,1
Alkene DS\imgs\288.png,1
,
,
Alkene DS\imgs\291.png,1
Alkene DS\imgs\292.png,1
Alkene DS\imgs\293.png,1
,
Alkene DS\imgs\295.png,1
Alkene DS\imgs\296.png,1
Alkene DS\imgs\297.png,1
,
Alkene DS\imgs\299.png,1
Alkene DS\imgs\300.png,1
Alkene DS\imgs\301.png,1
Alkene DS\imgs\302.png,1
Alkene DS\imgs\303.png,1
Alkene DS\imgs\304.png,1
Alkene DS\imgs\305.png,1
Alkene DS\imgs\306.png,1
Alkene DS\imgs\307.png,1
Alkene DS\imgs\308.png,1
Alkene DS\imgs\309.png,1
Alkene DS\imgs\310.png,1
Alkene DS\imgs\311.png,1
Alkene DS\imgs\312.png,1
Alkene DS\imgs\313.png,1
Alkene DS\imgs\314.png,1
Alkene DS\imgs\315.png,1
Alkene DS\imgs\316.png,1
,
Alkene DS\imgs\318.png,1
Alkene DS\imgs\319.png,1
Alkene DS\imgs\320.png,1
,
Alkene DS\imgs\322.png,1
Alkene DS\imgs\323.png,1
,
,
Alkene DS\imgs\326.png,1
Alkene DS\imgs\327.png,1
Alkene DS\imgs\328.png,1
Alkene DS\imgs\329.png,1
,
,
,
Alkene DS\imgs\333.png,1
Alkene DS\imgs\334.png,1
,
Alkene DS\imgs\336.png,1
Alkene DS\imgs\337.png,1
Alkene DS\imgs\338.png,1
,
Alkene DS\imgs\340.png,1
Alkene DS\imgs\341.png,1
Alkene DS\imgs\342.png,1
,
Alkene DS\imgs\344.png,1
,
,
Alkene DS\imgs\347.png,1
,
Alkene DS\imgs\349.png,1
Alkene DS\imgs\350.png,1
Alkene DS\imgs\351.png,1
Alkene DS\imgs\352.png,1
,
Alkene DS\imgs\354.png,1
Alkene DS\imgs\355.png,1
Alkene DS\imgs\356.png,1
Alkene DS\imgs\357.png,1
Alkene DS\imgs\358.png,1
Alkene DS\imgs\359.png,1
Alkene DS\imgs\360.png,1
Alkene DS\imgs\361.png,1
Alkene DS\imgs\362.png,1
Alkene DS\imgs\363.png,1
Alkene DS\imgs\364.png,1
Alkene DS\imgs\365.png,1
Alkene DS\imgs\366.png,1
Alkene DS\imgs\367.png,1
,
Alkene DS\imgs\369.png,1
Alkene DS\imgs\370.png,1
Alkene DS\imgs\371.png,1
Alkene DS\imgs\372.png,1
Alkene DS\imgs\373.png,1
Alkene DS\imgs\374.png,1
Alkene DS\imgs\375.png,1
Alkene DS\imgs\376.png,1
Alkene DS\imgs\377.png,1
Alkene DS\imgs\378.png,1
Alkene DS\imgs\379.png,1
Alkene DS\imgs\380.png,1
,
Alkene DS\imgs\382.png,1
Alkene DS\imgs\383.png,1
Alkene DS\imgs\384.png,1
Alkene DS\imgs\385.png,1
Alkene DS\imgs\386.png,1
Alkene DS\imgs\387.png,1
,
Alkene DS\imgs\389.png,1
Alkene DS\imgs\390.png,1
,
Alkene DS\imgs\392.png,1
Alkene DS\imgs\393.png,1
Alkene DS\imgs\394.png,1
Alkene DS\imgs\395.png,1
Alkene DS\imgs\396.png,1
Alkene DS\imgs\397.png,1
Alkene DS\imgs\398.png,1
Alkene DS\imgs\399.png,1
Alkene DS\imgs\400.png,1
Alkene DS\imgs\401.png,1
Alkene DS\imgs\402.png,1
Alkene DS\imgs\403.png,1
Alkene DS\imgs\404.png,1
,
Alkene DS\imgs\406.png,1
,
Alkene DS\imgs\408.png,1
Alkene DS\imgs\409.png,1
Alkene DS\imgs\410.png,1
Alkene DS\imgs\411.png,1
Alkene DS\imgs\412.png,1
,
Alkene DS\imgs\414.png,1
,
,
,
Alkene DS\imgs\418.png,1
Alkene DS\imgs\419.png,1
Alkene DS\imgs\420.png,1
Alkene DS\imgs\421.png,1
Alkene DS\imgs\422.png,1
Alkene DS\imgs\423.png,1
Alkene DS\imgs\424.png,1
Alkene DS\imgs\425.png,1
Alkene DS\imgs\426.png,1
Alkene DS\imgs\427.png,1
Alkene DS\imgs\428.png,1
Alkene DS\imgs\429.png,1
Alkene DS\imgs\430.png,1
Alkene DS\imgs\431.png,1
Alkene DS\imgs\432.png,1
Alkene DS\imgs\433.png,1
Alkene DS\imgs\434.png,1
Alkene DS\imgs\435.png,1
Alkene DS\imgs\436.png,1
Alkene DS\imgs\437.png,1
Alkene DS\imgs\438.png,1
Alkene DS\imgs\439.png,1
Alkene DS\imgs\440.png,1
,
Alkene DS\imgs\442.png,1
Alkene DS\imgs\443.png,1
,
,
Alkene DS\imgs\446.png,1
Alkene DS\imgs\447.png,1
Alkene DS\imgs\448.png,1
Alkene DS\imgs\449.png,1
Alkene DS\imgs\450.png,1
,
Alkene DS\imgs\452.png,1
Alkene DS\imgs\453.png,1
Alkene DS\imgs\454.png,1
Alkene DS\imgs\455.png,1
Alkene DS\imgs\456.png,1
Alkene DS\imgs\457.png,1
Alkene DS\imgs\458.png,1
,
Alkene DS\imgs\460.png,1
Alkene DS\imgs\461.png,1
Alkene DS\imgs\462.png,1
Alkene DS\imgs\463.png,1
Alkene DS\imgs\464.png,1
Alkene DS\imgs\465.png,1
Alkene DS\imgs\466.png,1
Alkene DS\imgs\467.png,1
Alkene DS\imgs\468.png,1
Alkene DS\imgs\469.png,1
Alkene DS\imgs\470.png,1
Alkene DS\imgs\471.png,1
Alkene DS\imgs\472.png,1
Alkene DS\imgs\473.png,1
Alkene DS\imgs\474.png,1
Alkene DS\imgs\475.png,1
Alkene DS\imgs\476.png,1
Alkene DS\imgs\477.png,1
Alkene DS\imgs\478.png,1
,
Alkene DS\imgs\480.png,1
Alkene DS\imgs\481.png,1
Alkene DS\imgs\482.png,1
Alkene DS\imgs\483.png,1
Alkene DS\imgs\484.png,1
,
Alkene DS\imgs\486.png,1
Alkene DS\imgs\487.png,1
Alkene DS\imgs\488.png,1
Alkene DS\imgs\489.png,1
Alkene DS\imgs\490.png,1
,
,
,
Alkene DS\imgs\494.png,1
Alkene DS\imgs\495.png,1
Alkene DS\imgs\496.png,1
Alkene DS\imgs\497.png,1
,
Alkene DS\imgs\499.png,1
,
Alkyne DS\imgs\0.png,1
Alkyne DS\imgs\1.png,1
Alkyne DS\imgs\2.png,1
Alkyne DS\imgs\3.png,0
Alkyne DS\imgs\4.png,0
Alkyne DS\imgs\5.png,0
Alkyne DS\imgs\6.png,0
Alkyne DS\imgs\7.png,1
Alkyne DS\imgs\8.png,0
Alkyne DS\imgs\9.png,0
Alkyne DS\imgs\10.png,0
Alkyne DS\imgs\11.png,0
Alkyne DS\imgs\12.png,1
Alkyne DS\imgs\13.png,0
Alkyne DS\imgs\14.png,0
Alkyne DS\imgs\15.png,0
Alkyne DS\imgs\16.png,0
Alkyne DS\imgs\17.png,1
Alkyne DS\imgs\18.png,0
Alkyne DS\imgs\19.png,0
Alkyne DS\imgs\20.png,1
Alkyne DS\imgs\21.png,0
Alkyne DS\imgs\22.png,0
Alkyne DS\imgs\23.png,0
Alkyne DS\imgs\24.png,1
Alkyne DS\imgs\25.png,1
Alkyne DS\imgs\26.png,1
Alkyne DS\imgs\27.png,0
Alkyne DS\imgs\28.png,0
Alkyne DS\imgs\29.png,0
Alkyne DS\imgs\30.png,1
Alkyne DS\imgs\31.png,0
Alkyne DS\imgs\32.png,1
Alkyne DS\imgs\33.png,0
Alkyne DS\imgs\34.png,1
Alkyne DS\imgs\35.png,1
Alkyne DS\imgs\36.png,0
Alkyne DS\imgs\37.png,0
Alkyne DS\imgs\38.png,0
Alkyne DS\imgs\39.png,1
Alkyne DS\imgs\40.png,0
Alkyne DS\imgs\41.png,0
Alkyne DS\imgs\42.png,1
Alkyne DS\imgs\43.png,1
Alkyne DS\imgs\44.png,1
Alkyne DS\imgs\45.png,0
Alkyne DS\imgs\46.png,1
Alkyne DS\imgs\47.png,0
Alkyne DS\imgs\48.png,0
Alkyne DS\imgs\49.png,0
Alkyne DS\imgs\50.png,0
Alkyne DS\imgs\51.png,1
Alkyne DS\imgs\52.png,0
Alkyne DS\imgs\53.png,0
Alkyne DS\imgs\54.png,1
Alkyne DS\imgs\55.png,0
Alkyne DS\imgs\56.png,0
Alkyne DS\imgs\57.png,0
Alkyne DS\imgs\58.png,1
Alkyne DS\imgs\59.png,1
Alkyne DS\imgs\60.png,0
Alkyne DS\imgs\61.png,1
Alkyne DS\imgs\62.png,0
Alkyne DS\imgs\63.png,0
Alkyne DS\imgs\64.png,0
Alkyne DS\imgs\65.png,0
Alkyne DS\imgs\66.png,0
Alkyne DS\imgs\67.png,0
Alkyne DS\imgs\68.png,0
Alkyne DS\imgs\69.png,0
Alkyne DS\imgs\70.png,0
Alkyne DS\imgs\71.png,0
Alkyne DS\imgs\72.png,0
Alkyne DS\imgs\73.png,0
Alkyne DS\imgs\74.png,0
Alkyne DS\imgs\75.png,0
Alkyne DS\imgs\76.png,0
Alkyne DS\imgs\77.png,0
Alkyne DS\imgs\78.png,1
Alkyne DS\imgs\79.png,0
Alkyne DS\imgs\80.png,0
Alkyne DS\imgs\81.png,0
Alkyne DS\imgs\82.png,0
Alkyne DS\imgs\83.png,0
Alkyne DS\imgs\84.png,0
Alkyne DS\imgs\85.png,0
Alkyne DS\imgs\86.png,0
Alkyne DS\imgs\87.png,0
Alkyne DS\imgs\88.png,1
Alkyne DS\imgs\89.png,0
Alkyne DS\imgs\90.png,0
Alkyne DS\imgs\91.png,0
Alkyne DS\imgs\92.png,0
Alkyne DS\imgs\93.png,0
Alkyne DS\imgs\94.png,0
Alkyne DS\imgs\95.png,0
Alkyne DS\imgs\96.png,0
Alkyne DS\imgs\97.png,0
Alkyne DS\imgs\98.png,0
Alkyne DS\imgs\99.png,0
Alkyne DS\imgs\100.png,0
Alkyne DS\imgs\101.png,0
Alkyne DS\imgs\102.png,0
Alkyne DS\imgs\103.png,0
Alkyne DS\imgs\104.png,0
Alkyne DS\imgs\105.png,1
Alkyne DS\imgs\106.png,0
Alkyne DS\imgs\107.png,0
Alkyne DS\imgs\108.png,0
Alkyne DS\imgs\109.png,1
Alkyne DS\imgs\110.png,0
Alkyne DS\imgs\111.png,0
Alkyne DS\imgs\112.png,0
Alkyne DS\imgs\113.png,0
Alkyne DS\imgs\114.png,1
Alkyne DS\imgs\115.png,0
Alkyne DS\imgs\116.png,0
Alkyne DS\imgs\117.png,0
Alkyne DS\imgs\118.png,0
Alkyne DS\imgs\119.png,0
Alkyne DS\imgs\120.png,0
Alkyne DS\imgs\121.png,1
Alkyne DS\imgs\122.png,0
Alkyne DS\imgs\123.png,0
Alkyne DS\imgs\124.png,0
Alkyne DS\imgs\125.png,0
Alkyne DS\imgs\126.png,0
Alkyne DS\imgs\127.png,0
Alkyne DS\imgs\128.png,0
Alkyne DS\imgs\129.png,0
Alkyne DS\imgs\130.png,0
Alkyne DS\imgs\131.png,0
Alkyne DS\imgs\132.png,0
Alkyne DS\imgs\133.png,0
Alkyne DS\imgs\134.png,0
Alkyne DS\imgs\135.png,0
Alkyne DS\imgs\136.png,0
Alkyne DS\imgs\137.png,0
Alkyne DS\imgs\138.png,0
Alkyne DS\imgs\139.png,0
Alkyne DS\imgs\140.png,0
Alkyne DS\imgs\141.png,0
Alkyne DS\imgs\142.png,0
Alkyne DS\imgs\143.png,1
Alkyne DS\imgs\144.png,0
Alkyne DS\imgs\145.png,0
Alkyne DS\imgs\146.png,0
Alkyne DS\imgs\147.png,0
Alkyne DS\imgs\148.png,1
Alkyne DS\imgs\149.png,0
Alkyne DS\imgs\150.png,0
Alkyne DS\imgs\151.png,0
Alkyne DS\imgs\152.png,1
Alkyne DS\imgs\153.png,0
Alkyne DS\imgs\154.png,0
Alkyne DS\imgs\155.png,0
Alkyne DS\imgs\156.png,0
Alkyne DS\imgs\157.png,0
Alkyne DS\imgs\158.png,0
Alkyne DS\imgs\159.png,0
Alkyne DS\imgs\160.png,0
Alkyne DS\imgs\161.png,0
Alkyne DS\imgs\162.png,0
Alkyne DS\imgs\163.png,0
Alkyne DS\imgs\164.png,0
Alkyne DS\imgs\165.png,0
Alkyne DS\imgs\166.png,1
Alkyne DS\imgs\167.png,0
Alkyne DS\imgs\168.png,1
Alkyne DS\imgs\169.png,0
Alkyne DS\imgs\170.png,0
Alkyne DS\imgs\171.png,0
Alkyne DS\imgs\172.png,0
Alkyne DS\imgs\173.png,0
Alkyne DS\imgs\174.png,0
Alkyne DS\imgs\175.png,0
Alkyne DS\imgs\176.png,1
Alkyne DS\imgs\177.png,1
Alkyne DS\imgs\178.png,1
Alkyne DS\imgs\179.png,0
Alkyne DS\imgs\180.png,0
Alkyne DS\imgs\181.png,0
Alkyne DS\imgs\182.png,0
Alkyne DS\imgs\183.png,0
Alkyne DS\imgs\184.png,0
Alkyne DS\imgs\185.png,0
Alkyne DS\imgs\186.png,0
Alkyne DS\imgs\187.png,1
Alkyne DS\imgs\188.png,0
Alkyne DS\imgs\189.png,1
Alkyne DS\imgs\190.png,0
Alkyne DS\imgs\191.png,0
Alkyne DS\imgs\192.png,1
Alkyne DS\imgs\193.png,1
Alkyne DS\imgs\194.png,0
Alkyne DS\imgs\195.png,0
Alkyne DS\imgs\196.png,0
Alkyne DS\imgs\197.png,0
Alkyne DS\imgs\198.png,0
Alkyne DS\imgs\199.png,0
Alkyne DS\imgs\200.png,0
Alkyne DS\imgs\201.png,0
Alkyne DS\imgs\202.png,0
Alkyne DS\imgs\203.png,0
Alkyne DS\imgs\204.png,1
Alkyne DS\imgs\205.png,0
Alkyne DS\imgs\206.png,0
Alkyne DS\imgs\207.png,0
Alkyne DS\imgs\208.png,0
Alkyne DS\imgs\209.png,0
Alkyne DS\imgs\210.png,0
Alkyne DS\imgs\211.png,0
Alkyne DS\imgs\212.png,0
Alkyne DS\imgs\213.png,0
Alkyne DS\imgs\214.png,0
Alkyne DS\imgs\215.png,0
Alkyne DS\imgs\216.png,0
Alkyne DS\imgs\217.png,0
Alkyne DS\imgs\218.png,1
Alkyne DS\imgs\219.png,0
Alkyne DS\imgs\220.png,0
Alkyne DS\imgs\221.png,0
Alkyne DS\imgs\222.png,0
Alkyne DS\imgs\223.png,0
Alkyne DS\imgs\224.png,1
Alkyne DS\imgs\225.png,1
Alkyne DS\imgs\226.png,1
Alkyne DS\imgs\227.png,0
Alkyne DS\imgs\228.png,0
Alkyne DS\imgs\229.png,0
Alkyne DS\imgs\230.png,0
Alkyne DS\imgs\231.png,0
Alkyne DS\imgs\232.png,1
Alkyne DS\imgs\233.png,0
Alkyne DS\imgs\234.png,1
Alkyne DS\imgs\235.png,0
Alkyne DS\imgs\236.png,0
Alkyne DS\imgs\237.png,0
Alkyne DS\imgs\238.png,0
Alkyne DS\imgs\239.png,0
Alkyne DS\imgs\240.png,0
Alkyne DS\imgs\241.png,0
Alkyne DS\imgs\242.png,0
Alkyne DS\imgs\243.png,0
Alkyne DS\imgs\244.png,1
Alkyne DS\imgs\245.png,0
Alkyne DS\imgs\246.png,0
Alkyne DS\imgs\247.png,0
Alkyne DS\imgs\248.png,0
Alkyne DS\imgs\249.png,0
Alkyne DS\imgs\250.png,0
Alkyne DS\imgs\251.png,0
Alkyne DS\imgs\252.png,0
Alkyne DS\imgs\253.png,0
Alkyne DS\imgs\254.png,0
Alkyne DS\imgs\255.png,0
Alkyne DS\imgs\256.png,0
Alkyne DS\imgs\257.png,0
Alkyne DS\imgs\258.png,0
Alkyne DS\imgs\259.png,0
Alkyne DS\imgs\260.png,0
Alkyne DS\imgs\261.png,0
Alkyne DS\imgs\262.png,0
Alkyne DS\imgs\263.png,0
Alkyne DS\imgs\264.png,0
Alkyne DS\imgs\265.png,0
Alkyne DS\imgs\266.png,1
Alkyne DS\imgs\267.png,1
Alkyne DS\imgs\268.png,0
Alkyne DS\imgs\269.png,0
Alkyne DS\imgs\270.png,0
Alkyne DS\imgs\271.png,0
Alkyne DS\imgs\272.png,0
Alkyne DS\imgs\273.png,0
Alkyne DS\imgs\274.png,0
Alkyne DS\imgs\275.png,1
Alkyne DS\imgs\276.png,0
Alkyne DS\imgs\277.png,0
Alkyne DS\imgs\278.png,0
Alkyne DS\imgs\279.png,0
Alkyne DS\imgs\280.png,0
Alkyne DS\imgs\281.png,0
Alkyne DS\imgs\282.png,0
Alkyne DS\imgs\283.png,0
Alkyne DS\imgs\284.png,0
Alkyne DS\imgs\285.png,0
Alkyne DS\imgs\286.png,0
Alkyne DS\imgs\287.png,0
Alkyne DS\imgs\288.png,1
Alkyne DS\imgs\289.png,0
